id,name,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,Write-in
770084000001,"Alamo Township, Precinct 1",53,10,82,0
770084000002,"Alamo Township, Precinct 2",80,10,151,0
770992000001,"Brady Charter Township, Precinct 1",61,10,86,0
770992000002,"Brady Charter Township, Precinct 2",45,9,62,0
771472000001,"Charleston Township, Precinct 1",44,13,101,1
771646000001,"Climax Township, Precinct 1",54,10,94,0
771768000001,"Comstock Charter Township, Precinct 1",100,19,108,0
771768000002,"Comstock Charter Township, Precinct 2",98,24,116,0
771768000003,"Comstock Charter Township, Precinct 3",51,14,98,0
771768000004,"Comstock Charter Township, Precinct 4",85,19,96,1
771768000005,"Comstock Charter Township, Precinct 5",129,38,192,0
771768000006,"Comstock Charter Township, Precinct 6",93,15,117,0
771798000001,"Cooper Charter Township, Precinct 1",49,16,54,0
771798000002,"Cooper Charter Township, Precinct 2",71,14,102,0
771798000003,"Cooper Charter Township, Precinct 3",126,28,217,0
771798000004,"Cooper Charter Township, Precinct 4",121,12,149,0
773126000001,"Galesburg City, Precinct 1",0,0,0,0
774218000001,"Kalamazoo Charter Township, Precinct 1",9,5,10,0
774218000002,"Kalamazoo Charter Township, Precinct 2",245,35,239,0
774218000003,"Kalamazoo Charter Township, Precinct 3",352,46,309,0
774218000004,"Kalamazoo Charter Township, Precinct 4",345,20,206,0
774218000005,"Kalamazoo Charter Township, Precinct 5",78,9,105,0
774218000006,"Kalamazoo Charter Township, Precinct 6",136,20,195,0
774216000002,"Kalamazoo City, Precinct 2",93,4,31,1
774216000003,"Kalamazoo City, Precinct 3",279,25,103,0
774216000004,"Kalamazoo City, Precinct 4",191,23,140,0
774216000005,"Kalamazoo City, Precinct 5",206,27,165,0
774216000006,"Kalamazoo City, Precinct 6",170,31,167,0
774216000007,"Kalamazoo City, Precinct 7",181,19,167,0
774216000008,"Kalamazoo City, Precinct 8",110,13,79,1
774216000009,"Kalamazoo City, Precinct 9",342,34,196,0
774216000010,"Kalamazoo City, Precinct 10",123,22,155,2
774216000011,"Kalamazoo City, Precinct 11",58,8,63,0
774216000012,"Kalamazoo City, Precinct 12",218,24,134,0
774216000013,"Kalamazoo City, Precinct 13",81,13,73,0
774216000014,"Kalamazoo City, Precinct 14",358,49,251,0
774216000015,"Kalamazoo City, Precinct 15",94,11,57,1
774216000016,"Kalamazoo City, Precinct 16",176,16,112,0
774216000017,"Kalamazoo City, Precinct 17",118,15,102,0
774216000018,"Kalamazoo City, Precinct 18",116,23,82,0
774216000019,"Kalamazoo City, Precinct 19",107,12,86,0
774216000020,"Kalamazoo City, Precinct 20",152,19,133,0
774216000021,"Kalamazoo City, Precinct 21",204,35,156,0
776140000001,"Oshtemo Charter Township, Precinct 1",98,7,124,0
776140000002,"Oshtemo Charter Township, Precinct 2",165,19,178,1
776140000003,"Oshtemo Charter Township, Precinct 3",178,12,175,0
776140000004,"Oshtemo Charter Township, Precinct 4",109,24,182,0
776140000005,"Oshtemo Charter Township, Precinct 5",173,20,264,0
776140000006,"Oshtemo Charter Township, Precinct 6",77,10,96,0
776140000007,"Oshtemo Charter Township, Precinct 7",120,14,135,1
776140000008,"Oshtemo Charter Township, Precinct 8",56,9,65,0
776140000009,"Oshtemo Charter Township, Precinct 9",188,19,146,0
776234000001,"Parchment City, Precinct 1",0,0,0,0
776296000001,"Charter Township of Pavilion, Precinct 1",85,17,119,0
776296000002,"Charter Township of Pavilion, Precinct 2",33,9,57,0
776296000003,"Charter Township of Pavilion, Precinct 3",55,9,75,0
776556000001,"Portage City, Precinct 1",178,14,175,0
776556000002,"Portage City, Precinct 2",60,9,52,0
776556000003,"Portage City, Precinct 3",224,54,360,0
776556000004,"Portage City, Precinct 4",243,30,295,0
776556000005,"Portage City, Precinct 5",285,63,459,1
776556000006,"Portage City, Precinct 6",181,36,198,0
776556000007,"Portage City, Precinct 7",195,23,225,0
776556000008,"Portage City, Precinct 8",264,30,278,0
776556000009,"Portage City, Precinct 9",149,24,158,0
776556000010,"Portage City, Precinct 10",231,26,273,0
776556000011,"Portage City, Precinct 11",162,24,163,0
776556000012,"Portage City, Precinct 12",130,11,134,0
776556000013,"Portage City, Precinct 13",248,27,254,0
776620000001,"Prairie Ronde Township, Precinct 1",57,12,146,0
776826000001,"Richland Township, Precinct 1",145,19,198,0
776826000002,"Richland Township, Precinct 2",183,18,257,0
776982000001,"Ross Township, Precinct 1",108,13,139,0
776982000002,"Ross Township, Precinct 2",99,25,181,0
777188000001,"Schoolcraft Township, Precinct 1",86,13,133,0
777188000002,"Schoolcraft Township, Precinct 2",40,8,70,0
777188000003,"Schoolcraft Township, Precinct 3",191,18,156,1
777188000004,"Schoolcraft Township, Precinct 4",67,4,103,0
777930000001,"Texas Charter Township, Precinct 1",126,27,126,0
777930000002,"Texas Charter Township, Precinct 2",107,20,136,1
777930000003,"Texas Charter Township, Precinct 3",134,19,175,0
777930000004,"Texas Charter Township, Precinct 4",218,29,179,0
777930000005,"Texas Charter Township, Precinct 5",214,45,269,0
777930000006,"Texas Charter Township, Precinct 6",182,24,226,0
778284000001,"Wakeshma Township, Precinct 1",0,0,0,0
