id,name,Mike Cox,John James,Perry Johnson,Aric Nesbitt,Write-in
570154000001,"City of Alma, Precinct 1",0,5,0,0,0
570154000002,"City of Alma, Precinct 2",0,2,0,0,0
570154000003,"City of Alma, Precinct 3",0,0,1,0,0
574134000001,"City of Ithaca, Precinct 1",1,13,5,1,0
577100000001,"City of St. Louis, Precinct 1",1,3,1,1,0
570326000001,"Arcada Township, Precinct 1",1,6,6,1,0
570802000001,"Bethany Township, Precinct 1",0,0,1,0,0
572512000001,"Elba Township, Precinct 1",0,6,0,0,0
572588000001,"Emerson Township, Precinct 1",2,5,0,0,0
573108000001,"Fulton Township, Precinct 1",0,8,0,0,0
573616000001,"Hamilton Township, Precinct 1",0,0,0,0,0
574408000001,"Lafayette Township, Precinct 1",0,3,1,0,0
575736000001,"New Haven Township, Precinct 1",0,1,1,1,0
575704000001,"Newark Township, Precinct 1",0,1,0,0,0
575880000001,"North Shade Township, Precinct 1",0,4,0,0,0
575888000001,"North Star Township, Precinct 1",0,2,2,0,0
576436000001,"Pine River Township, Precinct 1",2,2,1,0,0
577258000001,"Seville Township, Precinct 1",1,6,1,0,0
577730000001,"Sumner Township, Precinct 1",2,5,0,0,0
578408000001,"Washington Township, Precinct 1",0,0,0,0,0
578662000001,"Wheeler Township, Precinct 1",0,0,0,0,0
