id,name,Ben Ambrose,Jamie Hill,Clyde Welford,Write-in
1233070000001,"City of Fremont, Precinct 1",0,4,0,0
1233070000002,"City of Fremont, Precinct 2",1,1,0,0
1233436000001,"City of Grant, Precinct 1",0,0,0,0
1235708000001,"City of Newaygo, Precinct 1",1,1,0,0
1238668000001,"City of White Cloud, Precinct 1",0,0,0,0
1230370000001,"Ashland Township, Precinct 1",1,3,0,0
1230562000001,"Barton Township, Precinct 1",1,0,0,0
1230658000001,"Beaver Township, Precinct 1",0,0,0,0
1230828000001,"Big Prairie Township, Precinct 1",1,2,1,0
1231050000001,"Bridgeton Township, Precinct 1",0,0,0,0
1231106000001,"Brooks Township, Precinct 1",5,5,0,0
1231898000001,"Croton Township, Precinct 1",1,6,2,0
1231996000001,"Dayton Township, Precinct 1",2,2,0,0
1232170000001,"Denver Township, Precinct 1",2,0,0,0
1232616000001,"Ensley Township, Precinct 1",0,0,0,0
1232670000001,"Everett Township, Precinct 1",1,3,1,0
1233164000001,"Garfield Township, Precinct 1",2,6,3,0
1233300000001,"Goodwell Township, Precinct 1",0,1,0,0
1233438000001,"Grant Township, Precinct 1",3,3,0,0
1233886000001,"Home Township, Precinct 1",0,0,0,0
1234744000001,"Lilley Township, Precinct 1",0,1,2,0
1234770000001,"Lincoln Township, Precinct 1",0,0,0,0
1235316000001,"Merrill Township, Precinct 1",0,2,0,0
1235506000001,"Monroe Township, Precinct 1",2,0,0,0
1235930000001,"Norwich Township, Precinct 1",1,1,0,0
1237312000001,"Sheridan Charter Township, Precinct 1",0,0,0,0
1237326000001,"Sherman Township, Precinct 1",0,3,0,0
1238068000001,"Troy Township, Precinct 1",0,0,0,0
1238720000001,"Wilcox Township, Precinct 1",1,1,0,0
