id,name,total,over_votes,under_votes,Write-in,Jocelyn Benson,Christopher Robert Swanson
550020000001,"Acme Township, Precinct 1",359,,,0,316,43
550020000002,"Acme Township, Precinct 2",212,,,0,199,13
550888000001,"Blair Township, Precinct 1",192,,,0,163,29
550888000002,"Blair Township, Precinct 2",212,,,0,188,24
550888000003,"Blair Township, Precinct 3",165,,,0,146,19
552380000001,"East Bay Township, Precinct 1",301,,,0,258,43
552380000004,"East Bay Township, Precinct 4",315,,,0,272,43
552380000005,"East Bay Township, Precinct 5",233,,,0,201,32
552380000006,"East Bay Township, Precinct 6",593,,,0,530,63
552802000001,"Fife Lake Township, Precinct 1",91,,,0,79,12
553158000001,"Garfield Township, Precinct 1",283,,,0,263,20
553158000002,"Garfield Township, Precinct 2",447,,,2,399,46
553158000003,"Garfield Township, Precinct 3",199,,,0,174,25
553158000004,"Garfield Township, Precinct 4",296,,,0,257,39
553158000005,"Garfield Township, Precinct 5",549,,,1,500,48
553158000006,"Garfield Township, Precinct 6",304,,,0,276,28
553158000007,"Garfield Township, Precinct 7",148,,,0,130,18
553424000001,"Grant Township, Precinct 1",0,,,0,0,0
553496000001,"Green Lake Township, Precinct 1",270,,,0,247,23
553496000002,"Green Lake Township, Precinct 2",199,,,0,182,17
553496000003,"Green Lake Township, Precinct 3",191,,,0,179,12
554924000001,"Long Lake Township, Precinct 1",633,,,0,575,58
554924000002,"Long Lake Township, Precinct 2",575,,,1,522,52
555248000001,"Mayfield Township, Precinct 1",0,,,0,0,0
556232000001,"Paradise Township, Precinct 1",0,,,0,0,0
556232000002,"Paradise Township, Precinct 2",0,,,0,0,0
556334000001,"Peninsula Township, Precinct 1",599,,,1,559,39
556334000002,"Peninsula Township, Precinct 2",636,,,0,586,50
558132000001,"Union Township, Precinct 1",0,,,0,0,0
558704000001,"Whitewater Township, Precinct 1",316,,,0,281,35
558034000001,"Traverse City, Precinct 1",458,,,0,420,38
558034000003,"Traverse City, Precinct 3",461,,,0,424,37
558034000007,"Traverse City, Precinct 7",328,,,0,284,44
558034000008,"Traverse City, Precinct 8",410,,,1,369,40
558034000009,"Traverse City, Precinct 9",390,,,0,367,23
558034000010,"Traverse City, Precinct 10",446,,,0,393,53
