id,name,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,Write-in
1154970000001,"City of Luna Pier, Precinct 1",0,0,0,0
1155502000001,"City of Monroe, Precinct 1",75,12,127,0
1155502000002,"City of Monroe, Precinct 2",65,6,76,0
,"City of Monroe, Precinct 3N",43,3,41,1
,"City of Monroe, Precinct 3S",17,3,26,0
1155502000004,"City of Monroe, Precinct 4",84,18,172,0
1155502000005,"City of Monroe, Precinct 5",132,30,188,0
1155502000006,"City of Monroe, Precinct 6",63,22,111,0
1156380000001,"City of Petersburg, Precinct 1",0,0,0,0
1150368000001,"Ash Township, Precinct 1",56,13,110,0
1150368000002,"Ash Township, Precinct 2",61,15,168,0
1150368000003,"Ash Township, Precinct 3",42,8,103,0
1150674000001,"Bedford Township, Precinct 1",20,9,40,0
1150674000002,"Bedford Township, Precinct 2",46,17,82,0
1150674000003,"Bedford Township, Precinct 3",42,7,66,0
1150674000004,"Bedford Township, Precinct 4",74,40,82,1
1150674000005,"Bedford Township, Precinct 5",38,13,91,0
1150674000006,"Bedford Township, Precinct 6",67,16,132,0
1150674000007,"Bedford Township, Precinct 7",66,17,100,0
1150674000008,"Bedford Township, Precinct 8",47,34,100,0
1150674000009,"Bedford Township, Precinct 9",30,13,80,0
1150674000010,"Bedford Township, Precinct 10",41,16,44,0
1150674000011,"Bedford Township, Precinct 11",62,17,78,1
1150674000012,"Bedford Township, Precinct 12",63,7,106,0
1150674000013,"Bedford Township, Precinct 13",58,8,77,0
1150674000014,"Bedford Township, Precinct 14",40,19,62,0
1150772000001,"Berlin Township, Precinct 1",47,6,79,1
1150772000002,"Berlin Township, Precinct 2",52,12,127,0
1150772000003,"Berlin Township, Precinct 3",38,6,80,0
1150772000004,"Berlin Township, Precinct 4",67,15,93,0
1152340000001,"Dundee Township, Precinct 1",0,0,0,0
1152340000002,"Dundee Township, Precinct 2",0,0,0,0
1152340000003,"Dundee Township, Precinct 3",0,0,0,0
1152632000001,"Erie Township, Precinct 1",85,18,136,0
1152688000001,"Exeter Township, Precinct 1",0,0,0,0
1152688000002,"Exeter Township, Precinct 2",0,0,0,0
1153082000001,"Frenchtown Township, Precinct 1",26,6,50,0
1153082000002,"Frenchtown Township, Precinct 2",41,4,57,1
1153082000003,"Frenchtown Township, Precinct 3",49,8,76,0
1153082000004,"Frenchtown Township, Precinct 4",65,12,131,0
1153082000005,"Frenchtown Township, Precinct 5",30,6,75,0
1153082000006,"Frenchtown Township, Precinct 6",43,9,119,1
1153082000007,"Frenchtown Township, Precinct 7",75,20,152,0
1153082000008,"Frenchtown Township, Precinct 8",40,6,64,0
1153082000009,"Frenchtown Township, Precinct 9",52,11,85,0
1154026000001,"Ida Township, Precinct 1",32,9,78,0
1154026000002,"Ida Township, Precinct 2",38,9,72,1
1154626000001,"La Salle Township, Precinct 1",31,6,85,0
1154626000002,"La Salle Township, Precinct 2",55,10,124,0
1154918000001,"London Township, Precinct 1",0,0,0,0
1155390000001,"Milan Township, Precinct 1",0,0,0,0
1155504000001,"Monroe Charter Township, Precinct 1",38,3,111,0
1155504000002,"Monroe Charter Township, Precinct 2",33,4,35,0
1155504000003,"Monroe Charter Township, Precinct 3",34,8,75,0
1155504000004,"Monroe Charter Township, Precinct 4",52,5,101,0
1155504000005,"Monroe Charter Township, Precinct 5",57,16,138,0
1155504000006,"Monroe Charter Township, Precinct 6",34,10,90,0
1156690000001,"Raisinville Township, Precinct 1",63,15,125,0
1156690000002,"Raisinville Township, Precinct 2",74,16,168,0
1157714000001,"Summerfield Township, Precinct 1",46,6,37,0
1158674000001,"Whiteford Township, Precinct 1",30,12,68,0
1158674000002,"Whiteford Township, Precinct 2",18,3,39,0
